,Importation_Month,Name,Name_fr,Month_mass,is_right_season,All_year_mass,Higher_import,Index
46,1,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",6271022,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.4994234878952531
47,5,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",1417234,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.767523210784547
48,9,rye,"['seigle', 'seigle', 'seigle', 'seigle', 'seigle']",120018,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.5878440178899637
49,12,rye,"['seigle', 'seigle', 'seigle']",73832,True,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.7025213947446649
50,11,rye,"['seigle', 'seigle', 'seigle', 'seigle']",121284,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.6180359607224664
51,10,rye,"['seigle', 'seigle', 'seigle', 'seigle', 'seigle']",271293,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",True,0.0
52,8,rye,"['seigle', 'seigle']",54604,True,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.7060986526868119
53,1,rye,,0,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,1.0
54,6,rye,"['seigle', 'seigle', 'seigle', 'seigle']",166183,True,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",True,0.5550895110207241
55,5,rye,"['seigle', 'seigle', 'seigle', 'seigle']",43415,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.6223748226082148
56,4,rye,"['seigle', 'seigle', 'seigle']",12356,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.778055964379709
57,3,rye,"['seigle', 'seigle']",85375,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.6682908213015568
58,2,rye,"['seigle', 'seigle']",37380,False,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.701528409720003
59,7,rye,"['seigle', 'seigle', 'seigle']",101615,True,"[120018, 73832, 121284, 271293, 54604, 0, 166183, 43415, 12356, 85375, 37380, 101615]",False,0.6297852298314836
60,12,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",3949522,True,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",True,0.334817066730043
61,11,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",1489222,False,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",False,0.63340061603683
62,10,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",3460978,False,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",True,0.3014237148596646
63,9,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",705732,False,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",False,0.7467230433506994
64,8,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",1398639,True,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",False,0.5159684362481752
65,7,oat,"['avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine', 'avoine']",759455,True,"[3949522, 1489222, 3460978, 705732, 1398639, 759455, 1295044, 942688, 921561, 1058988, 1081569, 1240495]",False,0.26923654727500357
